symbol,address,volatility,ml_score,whale_score,social_score,confidence_score,risk_profile,dynamic_stop_loss,tp1,tp2,tp3,tp4,exit_pct_tp1,exit_pct_tp2,exit_pct_tp3,exit_pct_tp4,expected_return,risk_reward_ratio,updated_at
SOL,9n4nbM75f5Ui33ZbPYXn59EwSgE8CGsHtAeTH5YFeJ9E,0.5473860434374979,3705.5204455250164,50.0,50,1512.2081782100065,conservative,0.08,0.25,0.5,0.75,1.0,0.4,0.3,0.2,0.1,0.5,6.25,2025-11-11T17:47:48.898705
FARTWORM,9zFU5vR7YNBzZU8HwJLUKjoDEonpgvHUdLbMgBa7pump,0.1597559902534405,1008.6819284912511,66.3,50,439.1777713965005,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.898959
XBT,A8YHuvQBMAxXoZAZE72FyC8B7jKHo8RJyByXRRffpump,0.3132565426611402,1668.5189381825733,50.0,50,697.4075752730294,moderate,0.08,0.35,0.75,1.25,2.0,0.35,0.3,0.25,0.1,0.86,10.75,2025-11-11T17:47:48.899194
RUECAT,AMKKkovbUqr5cxmsg22KxTgaRXq6z4f8umrze4JKpump,0.283963535126397,3027.657509727325,50.0,50,1241.06300389093,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.899407
KENNY,AkhHVVk58FmoS8h1fDWzHMZ9YrnqHcZi97mFzhjbpump,0.0266194743179896,0.0,49.3,50,29.755,conservative,0.13842849652072456,0.25,0.5,0.75,1.0,0.4,0.3,0.2,0.1,0.5,3.6119730587779912,2025-11-11T17:47:48.899672
MMGA,Axix4KAvD9m5iYvUx7wztZnKJfJs7KXxPzPmMv6Npump,0.0166543346881622,1466.3076921080124,50.7,50,616.768076843205,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.899919
Supershiro,B1PrDviUajpkxghL1v2w2P8jnxu3FNjcxUDdBNanPLyR,0.0295984535173928,0.0,49.3,50,29.755,conservative,0.1386319760673122,0.25,0.5,0.75,1.0,0.4,0.3,0.2,0.1,0.5,3.606671521130356,2025-11-11T17:47:48.900183
DREAM,B9zze29or7CJs1nBrigSCWSibfxvkmieFXcGg5cxbonk,0.2312338372681967,3598.932820347222,50.0,50,1469.573128138889,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.900397
BEANS,BMdxkiQTJbLjZF4on3ivYDibWVCMsriEHra469zM49hV,0.2,0.0,50.0,50,30.0,conservative,0.15015,0.25,0.5,0.75,1.0,0.4,0.3,0.2,0.1,0.5,3.33000333000333,2025-11-11T17:47:48.900611
CRND,BVvSqvTb9ZVNEkP5UsamR1egAWSGEZiQDU42FS7mmoon,0.1184342928076524,1527.736899224784,67.0,50,647.0447596899137,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.900862
BITX,BiTXcnGHmSvX6pwhZPmhsctjG3NjzMbTXtM2b7h5nDZC,0.2,0.0,50.0,50,30.0,conservative,0.15015,0.25,0.5,0.75,1.0,0.4,0.3,0.2,0.1,0.5,3.33000333000333,2025-11-11T17:47:48.901088
Streamless,C8Hyu6bjPtuaTJ4Fj6V6L99rhUkkCuKByNZTyXiCpump,0.1793754305166778,3949.5465058544114,50.0,50,1609.8186023417647,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.901289
7,CAamcXXVWM8b8DcpcT2rpEwwfNfBD2MXjHjCwRDBpump,0.0866148638567803,2321.8069391218282,53.6,50,959.9827756487313,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.901525
CHARLIE,CEqFiJoB6HLncfeieBw3PKKm9wyqrpSHV3VH4qZApump,0.1264130168450975,1638.7855352090348,77.8,50,695.2442140836139,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.901757
AI4,CZkxnM5PNPak31JSFNzJ76CWcYRu4mgxvBwcHaBJpump,0.3728581067112045,1249.923225745761,50.0,50,529.9692902983045,moderate,0.08,0.35,0.75,1.25,2.0,0.35,0.3,0.25,0.1,0.86,10.75,2025-11-11T17:47:48.901963
Pochita,CmLrhRd762bfytq6f3ZV5iuivN1Q8oyPw4evyW4Mbonk,0.0275388844391748,2353.146180468315,53.6,50,972.518472187326,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.902219
UPC,DHSZ2zaQ2mNtTJFXH3iNUG1oWXr6ZFj4TyfqVdexpump,0.2,0.0,50.0,50,30.0,conservative,0.15015,0.25,0.5,0.75,1.0,0.4,0.3,0.2,0.1,0.5,3.33000333000333,2025-11-11T17:47:48.902426
AI20X,DKffyw1oEVWR3ik7q7tb2shhmZ3jbTkRzT6R5banCxai,0.0467217638007352,1976.575524288269,53.6,50,821.8902097153077,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.902661
GIVE50,DQTiKmdc2evtLotMR5j7UAexvTbSL3Ef6dtbaY7Jpump,0.2,0.0,50.0,50,30.0,conservative,0.15015,0.25,0.5,0.75,1.0,0.4,0.3,0.2,0.1,0.5,3.33000333000333,2025-11-11T17:47:48.902861
YARA,DgAHh7SXLssDjufrLnrU1kPgrxmT7UbZYyCCqmcW6k6e,0.2,0.0,50.0,50,30.0,conservative,0.15015,0.25,0.5,0.75,1.0,0.4,0.3,0.2,0.1,0.5,3.33000333000333,2025-11-11T17:47:48.903073
ELIZABETH,DiiTPZdpd9t3XorHiuZUu4E1FoSaQ7uGN4q9YkQupump,0.2095420361752337,4692.4049194422,50.0,50,1906.9619677768799,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.903274
WSTPANDA,EFRoRp8wJsLy5kUZYSL95Tqp6ijVPsejWYMCn7ZjcG8L,0.2,0.0,50.0,50,30.0,conservative,0.15015,0.25,0.5,0.75,1.0,0.4,0.3,0.2,0.1,0.5,3.33000333000333,2025-11-11T17:47:48.903470
Hamu,ESJy7EVySoXbYvkq1V2RcDXYUicyZVe8hBHQeoDQpump,0.2,0.0,50.0,50,30.0,conservative,0.15015,0.25,0.5,0.75,1.0,0.4,0.3,0.2,0.1,0.5,3.33000333000333,2025-11-11T17:47:48.903666
1Bull,EVGox5PPxnFqTsMXMoUBSCUhszqK6UUYf9W7pkwfpump,0.3161222913229614,2055.8283418047063,50.0,50,852.3313367218826,moderate,0.08,0.35,0.75,1.25,2.0,0.35,0.3,0.25,0.1,0.86,10.75,2025-11-11T17:47:48.903861
MoneyBear,Eo2cfEkpeVZrKjRtG34WZc3qzyeZeXjCRGWsEs4JTaNH,0.0130091775474174,1026.4472138964277,50.7,50,440.8238855585711,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.904131
BAR,Et2bFLuPCW77hGW2g7UdrboPVuxatFZt4BaCzhCqpump,0.1887455675346851,2498.609343148703,53.6,50,1030.7037372594812,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.904374
obvious,EzcwA7anSrdoH1TMKjbBTd91GD7KwMco9kFZh1AApump,0.1383085016304582,3924.541253141937,52.0,50,1600.5165012567752,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.904611
Noxi,F2yfGhxEi7Hw2mr2XQ3MLrdamiPt2rkdMf8PSyAGpump,0.0315501544690302,1997.6673143304936,53.6,50,830.3269257321975,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.904851
ACTIVITIES,FfTMftfnF64keWwxiREcSBca2PsQtkorb2LWCEdZpump,0.2,0.0,50.0,50,30.0,conservative,0.15015,0.25,0.5,0.75,1.0,0.4,0.3,0.2,0.1,0.5,3.33000333000333,2025-11-11T17:47:48.905069
GAZABOY,Fk6e19okXWGxtrHmXBLzkFeDPR2uuyeVYsqGyt89pump,0.1694307172700382,1638.878639373327,49.3,50,685.3064557493308,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.905309
HAMSTERUN,FwYBWjDBDqqfLQYewPZm1Vv555ireHpgUyJP4rMYpump,0.1833012463973909,0.0,50.0,50,30.0,conservative,0.14901031006662194,0.25,0.5,0.75,1.0,0.4,0.3,0.2,0.1,0.5,3.3554725158041205,2025-11-11T17:47:48.905517
FARTLESS,FyrBf5xKg5EwKZ9pHvSpJeLLuCWBicTpm3VvZcsibonk,0.4170533623809866,4120.148644802209,50.0,50,1678.0594579208837,moderate,0.08,0.35,0.75,1.25,2.0,0.35,0.3,0.25,0.1,0.86,10.75,2025-11-11T17:47:48.905717
Mementoe,GCU5AT6U8bKYK76KBssLf5a3a3KoNoMGStaVdfeipump,0.0287295913105251,1456.3162455702382,50.7,50,612.7714982280953,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.905950
pibble,GS3pHMUtYSu5PPuDFey74frkiRQhPdvx8jEeN6Qzbonk,0.1407507387902122,587.7982109082558,50.0,50,265.1192843633023,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.906169
IDIOT,GcPf1ZsZHvnjauhXoFvGMmc2gM73aJ63AYxYC6JAQVoG,0.2567375685579249,1792.3012126966921,50.0,50,746.9204850786768,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.906370
SHITTER,GuLvigFjAm1yyReTk6EeboHNnLj1tCi62pzWLorxbonk,0.2566422074735001,3143.7817356468568,50.0,50,1287.5126942587428,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.906566
RAGEGUY,GvV7sFu6FHJsSVXfpG7xqFnWar3c7YkcC74rqe7Bpump,0.2638090741754716,3092.448094987148,50.0,50,1266.9792379948592,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.906761
COUNT,H2zbT5whzb2ZpM1fQ8gqhTQ5V3ytywSYMdto9Dcy5r3e,0.2,0.0,50.0,50,30.0,conservative,0.15015,0.25,0.5,0.75,1.0,0.4,0.3,0.2,0.1,0.5,3.33000333000333,2025-11-11T17:47:48.906957
USEFUL,HD3JBABeFkdZwUgKwhwJYqjLNrPWXEaDVfH4uMqRpump,0.2986290306488874,3823.915485372548,50.0,50,1559.5661941490193,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.907174
PROFIT,HJ5HdKrTmvE26k7oKq8JFWvudnzge1gFpe6EKZXUbREV,0.0099283676513718,0.0,49.3,50,29.755,conservative,0.13728840839347292,0.25,0.5,0.75,1.0,0.4,0.3,0.2,0.1,0.5,3.6419680718199032,2025-11-11T17:47:48.907420
$CrepSol,HW2B2wvyEir3iqvYbYqbHWyR7rA6DqCR3WQSy4USpump,0.3350897393919858,2817.575391723279,50.0,50,1157.0301566893118,moderate,0.08,0.35,0.75,1.25,2.0,0.35,0.3,0.25,0.1,0.86,10.75,2025-11-11T17:47:48.907621
Fun,Hcz9pkmcmxW4DWkz9CxDFz5Q2Kswkq1jTkjB9hVgJ4Kp,0.2,0.0,50.0,50,30.0,conservative,0.15015,0.25,0.5,0.75,1.0,0.4,0.3,0.2,0.1,0.5,3.33000333000333,2025-11-11T17:47:48.907816
Hosico,HovYQgKum9HALgJmxGdESHNjsn3xezzio5HQVgiPHo1t,0.0948155690432081,2546.9740023239096,50.0,50,1048.7896009295641,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.908011
1% Club,HpQUbEAcHrhwSJyYfXLNZvJz9SBksRJJStn86gFdbonk,0.1180087360071261,1582.0571562845055,50.7,50,663.0678625138023,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.908265
BLUB,HxMQWY4DLbUrPXyejuKvu2KJ618zdTRs9dXEuFGrpump,0.0346159508432191,1909.857902639078,52.1,50,794.6781610556312,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.908583
HOODIE,JFjfTn5VJkHpacwz7rbnGXDxRUCySZhZ2EdTkrAmoon,0.070133146071525,3861.1255337192924,55.0,50,1576.200213487717,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.908864
SUPRACOIN,LGiKAMtb4BuPdhpThjEbNWbDddqdM5FnxMMHqtzpump,0.2210610475329859,4266.636855998836,53.6,50,1737.9147423995341,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.909132
wSOL,So11111111111111111111111111111111111111112,0.127750405507562,4423.922253708608,50.0,50,1799.5689014834434,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.909344
YAO,VnqKnEybGaw6G5ZAdjvPDri5RzDLPXznqxBunG13GJE,0.1466788929155216,2757.926471880755,50.0,50,1133.1705887523021,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.909544
MINDWORMS,iD9FqgeKmp58a4pTvh45MtKkHkudKNptFRdR8m6pump,0.2,0.0,50.0,50,30.0,conservative,0.15015,0.25,0.5,0.75,1.0,0.4,0.3,0.2,0.1,0.5,3.33000333000333,2025-11-11T17:47:48.909744
1SOL,mDJpLmXubnSYmesFYSeYck9AxmA76rpn6nnAs9ppump,0.2,0.0,50.0,50,30.0,conservative,0.15015,0.25,0.5,0.75,1.0,0.4,0.3,0.2,0.1,0.5,3.33000333000333,2025-11-11T17:47:48.909987
1,qG9NJP4pgFxWWfpFWV7GcYkTKyafDGsnUGCDZLRpump,0.2751599057842829,4298.555002983341,50.0,50,1749.4220011933364,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.910218
